courseNo,courseName,genEdType
2210314,JUVILE LIT,HU
2210315,LIT/ETHN IDENTITY,HU
2210316,LIT/SOC-POL CONS,HU
2210323,LIT/HUM RIGTHS,HU
2210335,INTRO CULT STUD,HU
2210420,MAJOR WRITER WORK,HU
2210423,LIT/PSYCHO,HU
2221249,PALI DAILY LIFE,HU
2221316,IND MYTH TH CULT,HU
2221390,IND CULT TH SOC,HU
2221433,BUDDHIST TEACHING,HU
2221485,BUDDHIST CIV,HU
2223181,INTRO JP LIT,HU
2223243,JAPAN TODAY,HU
2226001,INTRO VIET CULTURE,HU
2232241,GER CH JU LIT,HU
2232253,GER-SPK CNTR TODAY,HU
2234482,INTRO ITAL CINEMA (EN/TH),HU
2235320,CONTEMP PORT BRAZ,HU
2236103,RUS LANG CULT (EN/TH),HU
2244151,INTRO CAMBO CULT,HU
"2245151 ","INTRO LAO CULT   ",HU
2296111,CREAT LRNG SPACE,HU
2296200,HUMAN LANG,HU
2296225,LIT FILM  (กลุ่มพิเศษ),HU
2296228,THAI FOLK ART,HU
2296313,HUM LIT (กลุ่มพิเศษ),HU
2296314,JUV LIT (กลุ่มพิเศษ),HU
2296315,LIT/ETHN IDEN (กลุ่มพิเศษ),HU
2296352,21C BUDDHISTS,HU
2300150,NATURAL SCIENCE,SC
2300152,SCIENCE TODAY,SC
2300200,SCI TECH SOC,SC
2301170,COMP PROG,SC
2302190,CHEMISTRY FOR MODERN LIFE (INTER),SC
2303150,BIRDWATCH CONSERV,SC
2303165,MAN & ENVIRONMENT (EN/TH),SC
2304274,PHYS BIO SYS,SC
2305100,NATIONAL RESOURCES,IN
2305103,PL BETTER LIFE,SC
2305104,MAN/NATURE,IN
2305106,PLANS/HUMANITY,IN
2305107,PLANT WORLD,SC
2305108,BIOTECH DAILY LIFE,SC
2305109,PL GROW TECH,SC
2305120,THAI NAT REFOR,SC
2305151,ORGANIC GARDENING (INTER),SC
2305161,GENETICS FOR LIFE,SC
2306416,MGT SYS TECH,SC
2307205,INTRO GEM SCI,SC
2307206,EARTH SCIENCES,SC
2307230,EARTH SURFACE,SC
2308200,SCI LOGIST SYS,SC
2308303,HISTORY OF SCI (EN/TH),SC
2308354,STRATEGY OF LIFE (EN/TH),SC
2309201,GEN OCEANOLOGY,SC
2309202,ORNAMEN FISH AQUA,SC
2310201,HEALTH/BEAUTY,SC
2310202,SMT BUY CONS PROD,SC
2311132,NEW TECH MAT SCI,SC
2312100,MICROB FRIEND,SC
2313210,VISUAL MEDIA TECH,SC
2313213,DIGITAL PHOTO (EN/TH),SC
2313221,PHOTO SCI,SC
2313226,PRINS MEDIA TECH,SC
2314255,ELEMENT FOOD TECH (EN/TH),SC
2314257,INTRO PACK TECH,SC
2398130,MUGGLE MECHANICS,SC
2398131,PHYS IN FILMS,SC
2400104,GOVT POL THAI,SO
2403183,SOCIETY & CULTURE (EN/TH),SO
2403184,SOC DIVER JUS THAI (EN/TH),SO
2403185,JUV DEL (EN/TH),SO
2403284,CROSS CULT MGT (EN/TH),SO
2403471,ANTH RSRCH METH,SO
2404300,IT/SOC (EN/TH),SO
2404301,SEL TOP PAX DIGI,SO
2501191,HIST ART ARCH,HU
2501292,INTRO HSE DSGN,HU
2501295,INTRO DESIGN,HU
2501296,THAI ARCH HERITAGE,HU
2501297,ENJOY ARCH SKETCH,HU
2501298,UNDERST ARCH,HU
2501299,BUDDHIST ART/ARCH (EN/TH),HU
2502291,DESIGN EVERYDAY (EN/TH),HU
2502292,CULTINARY DESIGN,HU
2502330,DSGN TH CULT HER (กลุ่มพิเศษ),HU
2502378,JWL APPRECIAT,HU
2502379,APPRE CER,HU
2502390,INTRO PACK DESIGN,IN
2502393,CONT JP DSGN,HU
2502430,DSGN ENTREPRN (กลุ่มพิเศษ),HU
2503216,AMPHAWA STUDIES,IN
2503469,URBAN LIFE,HU
2504101,LA APPRECIATION,IN
2504102,HEALG ART/LDSCP,HU
2506504,TRAD TAI SET HSG,IN
2541151,SPARK CREAT (INTER),HU
2541152,C/C PROB SOLV (INTER),HU
2541154,COLOR AESTHETICS (INTER),HU
2541155,VIS CULT (INTER),HU
2541156,ARCH ENV FILM (INTER),HU
2541157,PERSPEC EU ARCH (INTER),HU
2541158,LAND/LANDSCAPE (INTER),HU
2541159,UNDST/BSC IA DSGN (INTER),HU
2541160,CREAT URB LIVING (INTER),SO
2541162,POSTMOD PHOTO (INTER),HU
2541163,FML ANAL/PRES ARCH (INTER),HU
2541168,DSGN ASIAN PESSP (INTER),HU
2541169,HIST ANIMATION (INTER),HU
2541171,CR ECON DSGN (INTER),HU
2541176,JP DSGN CON (INTER) (กลุ่มพิเศษ),HU
2541177,"ARCH HOME (INTER) ",HU
2542001,ART DSGN FLD (INTER) (กลุ่มพิเศษ),HU
2542002,COMM DSGN PROJ (INTER) (กลุ่มพิเศษ),HU
2542003,DSGN THINL INNV (EN/TH),HU
2601111,BUS ACCTG,SO
2602121,INTRO BUSINESS,SO
2602171,BUS CPTS/ETHICS (INTER),SO
2602241,INTRO IT/IS (EN/TH),SO
2603244,GEN PRIN INSURANCE,SO
2604362,PERSONAL FINANCE,SO
2605311,PRINC MKTG,SO
2722178,THAI CULTURE,SO
2722221,TH CULT GLOB,SO
2722272,DHAMMAVIDYA,HU
2722288,DHAMMA SELF,HU
2736106,ART APPRECIATION,HU
2737110,MUS APPRECIATION,HU
2737201,MUSIC FOR ESTHE (กลุ่มพิเศษ),SO
2746104,KHAM PHOR SORN,SO
2746105,LOC TALES MYTHS,HU
2746292,EDU SUS DEV (กลุ่มพิเศษ),SO
2747406,LEAD ED PRO 21STCE (กลุ่มพิเศษ),SO
2750178,LLL,IN
2796200,ART FOR LIFE QUAL,HU
2800210,ART APPRE COMM (INTER),HU
2800211,THAI CULT/COMM (INTER),SO
2800212,HUMAN COMM (INTER),SO
2800218,VIS MED STUDIES (INTER),SO
2800219,CROSS CULT COMM (INTER),SO
2800221,INTER COMM ETI PRO (INTER),SO
2800314,ART PUB SPKG (INTER),SO
2800381,GEN CULT/COMM (INTER),SO
2801321,NEWS INFO/SOC,SO
2894100,FASN COMM,SO
2900151,FOUNDATION ECON,SO
2900152,INTRO THAI ECON,SO
3000106,DOCTOR AND SOCIETY (กลุ่มพิเศษ),IN
3000257,CRIT THK ETH/LAW (กลุ่มพิเศษ),IN
3000281,HUMAN LIFE (กลุ่มพิเศษ),IN
3000396,HLTH PROM (กลุ่มพิเศษ),IN
