courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
0294456,DESIGNING LIFE,SO,S,2564,1,1
2403183,SOCIETY & CULTURE,SO,S,2564,1,1
2403185,JUV DEL,SO,S,2564,1,1
2601111,BUS ACCTG,SO,S,2564,1,1
2602121,INTRO BUSINESS,SO,S,2564,1,1-2
2603244,GEN PRIN INSURANCE,SO,S,2564,1,1
2604362,PERSONAL FINANCE,SO,S,2564,1,1
2605311,PRIN MKTG,SO,S,2564,1,7-8
2722221,TH CULT GLOB,SO,S,2564,1,1
2746292,EDU SUS DEV,SO,S,2564,1,5-8
2800212,HUMAN COMM,SO,S,2564,1,2
2801321,NEWS INFO/SOC,SO,S,2564,1,1
2900151,FOUNDATION ECON,SO,S,2564,1,2
2900152,INTRO THAI ECON,SO,S,2564,1,1
3401102,TAX LAW DLY LIFE,SO,S,2564,1,1-2
3401124,INTRO IP LAW,SO,S,2564,1,1
3402103,INTRO CRIM LAW,SO,S,2564,1,1
3404115,INTRO PUBLIC LAW,SO,S,2564,1,1
3404117,INTRO TO LAW,SO,S,2564,1,"4,7"
3404131,FREE ASM LAW,SO,S,2564,1,1
3405102,INTRO INTL LAW,SO,S,2564,1,1
3494101,LAW HUM RES MGT,SO,S,2564,1,1
3800101,GENERAL PSYCHOLOGY,SO,S,2564,1,6-7
3800202,PSY LIFE WORK,SO,S,2564,1,1
3800250,HUMAN RELATIONS,SO,S,2564,1,1-3
4000208,INTRO AGR ECON,SO,S,2564,1,1
4000209,INTRO AGR RES MGT,SO,S,2564,1,1
5100101,POP/DEV,SO,S,2564,1,1-3
0123101,PARAGRAPH WRITING,HU,S,2564,1,10-27
0123104,UNIV THAI READING,HU,S,2564,1,1-6
0123105,THAI WRIT WORK,HU,S,2564,1,1
0201211,MEDITAT LIFE DEV,HU,S,2564,1,2
0201212,SP ETHICS,HU,S,2564,1,1
0296110,HU ECO GLOBAL,HU,S,2564,1,2
0296112,LIFE SKILLS,HU,S,2564,1,1
2200185,SURV ART ARCH THAI,HU,S,2564,1,2
2200330,TIPITAKA/LIFE,HU,S,2564,1,1
2200391,CONT ART TH SEA,HU,S,2564,1,1
2200393,LANG/CULT ART,HU,S,2564,1,2
2204365,ART HIST THAILAND,HU,S,2564,1,1
2207103,PHILOS LOGIC,HU,S,2564,1,1
2207201,HIST WEST PHILOS,HU,S,2564,1,2
2207363,ETHICS,HU,S,2564,1,2
2207371,PHILOS LITERATURE,HU,S,2564,1,1
2209373,LANG CULTURE,HU,S,2564,1,2
2210214,LIT/ENVIRON,HU,S,2564,1,2
2210239,LIT/DISABILITY,HU,S,2564,1,2
2210313,HUMOUR LIT,HU,S,2564,1,1
2210315,LIT/ETHN IDENTITY,HU,S,2564,1,1
2221390,IND CULT TH SOC,HU,S,2564,1,1
2221433,BUDDHIST TEACHING,HU,S,2564,1,1-2
2221485,BUDDHIST CIV,HU,S,2564,1,1
2223243,JAPAN TODAY,HU,S,2564,1,1
2296352,21C BUDDHISTS,HU,S,2564,1,1
2501296,THAI ARCH HERITAGE,HU,S,2564,1,1
2722288,DHAMMA/SELF,HU,S,2564,1,1
2736106,ART APPRECIATION,HU,S,2564,1,1
2737110,MUS APPRECIATION,HU,S,2564,1,1
2796200,ART FOR LIFE QUAL,HU,S,2564,1,6
3501120,HIST WEST ART I,HU,S,2564,1,3
3501214,THAI ARTS l,HU,S,2564,1,2
3503101,CL MUS SCRN,HU,S,2564,1,1
3503111,INTRO CLASSIC MUS,HU,S,2564,1,1
0201287,MAP APPLN,SC,S,2564,1,1
0298112,GEN PRIN HAL PROD,SC,S,2564,1,2
0298114,INTR CLIN SEX,SC,S,2564,1,1
2107219,URBAN ENVIRONMENTS,SC,S,2564,1,1
