courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
0123101,PARAGRAP WRITING,HU,S,2564,2,1-26
0123104,UNIV THAI READING,HU,S,2564,2,1-6
0123105,THAI WRIT WORK,HU,S,2564,2,1
0201211,MEDITAT LIFE DEV,HU,S,2564,2,2
0201212,SP ETHICS,HU,S,2564,2,1
0296110,HU ECO GLOBAL,HU,S,2564,2,1
2200183,THAI CIV,HU,S,2564,2,1
2200330,TIPITAKA/LIFE,HU,S,2564,2,1
2200387,ARCHAEO THAI,HU,S,2564,2,2
2200396,REL RIT TH SOC,HU,S,2564,2,1
2206101,RES ACAD REP WRIT,HU,S,2564,2,1
2206249,SYS THINK HUM,HU,S,2564,2,1
2207103,PHILOS LOGIC,HU,S,2564,2,"2,4"
2207203,PHILOS/FILMS,HU,S,2564,2,2
2207361,AESTHETICS,HU,S,2564,2,2
2207474,CHINESE PHILOS,HU,S,2564,2,1
2207478,SP TOP ETHICS,HU,S,2564,2,1
2210221,CRIME FICT/FILM,HU,S,2564,2,2
2210314,JUV LIT,HU,S,2564,2,1
2210420,MAJOR WRITER WORK,HU,S,2564,2,2
2221433,BUDDHIST TEACHING,HU,S,2564,2,1-2
2221485,BUDDHIST CIV,HU,S,2564,2,1
2223243,JAPAN TODAY,HU,S,2564,2,1
2226001,INTRO VIET CULTURE,HU,S,2564,2,1
2235320,CONTEMP PORT BRAZ,HU,S,2564,2,1
2244151,INTRO CAMBO CULTURE,HU,S,2564,2,1
2296111,CREAT LRNG SPACE,HU,S,2564,2,1
2296200,HUMAN LANG,HU,S,2564,2,1
2296228,THAI FOLK ART,HU,S,2564,2,1
2296352,21C BUDDHISTS,HU,S,2564,2,1
2501191,HIST ART ARCH,HU,S,2564,2,1
2501295,INTRO DESIGN,HU,S,2564,2,1
2503469,URBAN LIFE,HU,S,2564,2,1
2504102,HEALG ART/LDSCP,HU,S,2564,2,1
2722288,DHAMMA/SELF,HU,S,2564,2,1
2736210,AES APP,HU,S,2564,2,1
2737110,MUS APPRECIATION,HU,S,2564,2,1
3501217,EAR MOD ART,HU,S,2564,2,1
3503101,CL MUS SCRN,HU,S,2564,2,1
3503111,INTRO CLASSIC MUS,HU,S,2564,2,1
0201106,ART SCI FIND HAP,IN,S,2564,2,1
0201107,LRN STUD ACT,IN,S,2564,2,1-2
0201108,FAMILY RELATIONS,IN,S,2564,2,1
0201109,INTRO EU INTEGRAT,IN,S,2564,2,1
0201121,LIFE REFL FILM,IN,S,2564,2,1-2
0201122,MGT PUB DISASTER,IN,S,2564,2,1
0201141,COAST ENV,IN,S,2564,2,1
0201151,OUR ENVIRONMENT,IN,S,2564,2,1
0201153,WASTE MANAGEMENT,IN,S,2564,2,1
0201201,IDEAL GRADUATE I,IN,S,2564,2,2
0201203,IDEAL GRADUATE III,IN,S,2564,2,1
0201204,IDEAL GRADUATE IV,IN,S,2564,2,1
0201210,MAT MGT GREEN,IN,S,2564,2,1
0201232,MULTI STUD RUR DEV,IN,S,2564,2,1
0201251,P2 CONTROL,IN,S,2564,2,1
0201252,ALT ENGY CONS,IN,S,2564,2,1
0201254,GLOB WARM ADAPT,IN,S,2564,2,1
0201255,ICT STRATEGIC MGT,IN,S,2564,2,1
0201283,BEAUTIFUL DEATH,IN,S,2564,2,1
0201285,ECON SOC PLANT,IN,S,2564,2,1
0201286,LIFE DESIGN,IN,S,2564,2,1
0295103,LRNG LIFE,IN,S,2564,2,1
0295104,GUARD WATER,IN,S,2564,2,1
0295105,PET LOVERS,IN,S,2564,2,1
0295106,WELL LIFE EXT,IN,S,2564,2,1
0295107,PATIENT SAFETY,IN,S,2564,2,"41,51,61"
0295109,INNO SRD,IN,S,2564,2,1
0295110,WINE EDUCATION,IN,S,2564,2,1
2104181,HF ERGO DAILY LIFE,IN,S,2564,2,1
2305100,NATIONAL RESOURCES,IN,S,2564,2,1
2305104,MAN/NATURE,IN,S,2564,2,1
2305106,PLANTS/HUMANITY,IN,S,2564,2,1
2502390,INTRO PACK DESIGN,IN,S,2564,2,1-2
2750178,LLL,IN,S,2564,2,1
3303100,Q LIFE,IN,S,2564,2,1
3900204,REC BUS TOUR,IN,S,2564,2,1
3914101,REC QUAL LIFE DEV,IN,S,2564,2,1
4000102,AGRI NAT ENV MGT,IN,S,2564,2,1
2104409,IND BUS MGT,SC,S,2564,2,1
2107219,URBAN ENVIRONMENTS,SC,S,2564,2,1
2107220,ENV DAILY LIFE,SC,S,2564,2,1
2111201,GEN RAD NUCLEAR,SC,S,2564,2,1
2300152,SCIENCE TODAY,SC,S,2564,2,1
2304274,PHYS BIO SYS,SC,S,2564,2,1
2307230,EARTH SURFACE,SC,S,2564,2,1
2398131,PHYS IN FILMS,SC,S,2564,2,1
3098101,DRUG DAILY LIFE,SC,S,2564,2,1
3309102,OUR BODY,SC,S,2564,2,1
3600202,NUTRITION,SC,S,2564,2,1
3600204,HLTH SEXUALITY,SC,S,2564,2,1
0298112,GEN PRIN HAL PROD,SC,S,2564,2,1
2107221,ENV STUD,SC,S,2564,2,1
2110191,INNOV THINK,SC,S,2564,2,1-2
2111330,MOD MAT PROP RAD,SC,S,2564,2,2
2112210,WATER/SOC,SC,S,2564,2,1
2300200,SCI TECH SOC,SC,S,2564,2,1
2303150,BIRDWATCH CONSERV,SC,S,2564,2,1
2303165,MAN & ENVIRONMENT,SC,S,2564,2,1
2305103,PL BETTER LIFE,SC,S,2564,2,1
2305108,BIOTECH DAILY LIFE,SC,S,2564,2,1
2305120,THAI NAT REFOR,SC,S,2564,2,1
2305151,ORGANIC GARDENING,SC,S,2564,2,1
2305181,PL BETTER SOC,SC,S,2564,2,1
2306416,MGT SYS TECH,SC,S,2564,2,1
2307206,EARTH SCIENCES,SC,S,2564,2,1
2308200,SCI LOGIST SYS,SC,S,2564,2,1
2308303,HISTORY OF SCI,SC,S,2564,2,1
