courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
2308354,STRATEGY OF LIFE,SC,S,2564,2,1-4
2309201,GEN OCEANOLOGY,SC,S,2564,2,1
2309202,ORNAMEN FISH AQUA,SC,S,2564,2,1
2310201,HEALTH/BEAUTY,SC,S,2564,2,1
2310202,SMT BUY CONS PROD,SC,S,2564,2,1
2312100,MICROB FRIEND FOE,SC,S,2564,2,1
2313213,DIGITAL PHOTO,SC,S,2564,2,1
2313221,PHOTO SCI,SC,S,2564,2,1-2
2314255,ELEMENT FOOD TECH,SC,S,2564,2,1
3010101,DRUG DAILY LIFE,SC,S,2564,2,1
3011102,CA NONMED STUD,SC,S,2564,2,1
3200106,FUND ORAL BIO HLTH,SC,S,2564,2,1-2
3200109,CALCIUM HLTH,SC,S,2564,2,1-2
3301102,COSMETICS DLY LIFE,SC,S,2564,2,1
3308100,MICRO ORGAN/LIFE,SC,S,2564,2,1
3308101,HYG ENV MICROBIO,SC,S,2564,2,1
3600205,FAM HLTH CARE,SC,S,2564,2,1-2
3600206,COM HLTH DEV,SC,S,2564,2,1
3600207,HLTH LIVING,SC,S,2564,2,1
3600208,TOB ALC HLTH,SC,S,2564,2,1
3600209,EMER DISAS CARE,SC,S,2564,2,1
3640203,MTRNL CHILD HEALTH,SC,S,2564,2,1
3700104,INT HC NEW GEN,SC,S,2564,2,1
3700107,SEXUAL DEVELOPMENT,SC,S,2564,2,1
3700108,HLTH PREV INFC DIS,SC,S,2564,2,1
3700109,IMMUNITY OF LIFE,SC,S,2564,2,1
3700110,GOOD HEALTH,SC,S,2564,2,1
3705102,RADIA DAILY LIFE,SC,S,2564,2,1
3742100,PHY THR DAILY LIFE,SC,S,2564,2,1-5
3742102,EXERCISE THERAPY,SC,S,2564,2,1
3742106,BLC BODY MIND QOL,SC,S,2564,2,1
3742107,LIFE KNOWLEDGE,SC,S,2564,2,1-2
3900200,EX/SP HLTH,SC,S,2564,2,1
3900202,FUNC EX,SC,S,2564,2,1
3900203,TREK MTNG EX,SC,S,2564,2,1-2
4000205,ORG AGR,SC,S,2564,2,1
4000210,QUAN ANAL AGRI BUS,SC,S,2564,2,1
0201170,MILITARY SCIENCE,SO,S,2564,2,1
0294456,DESIGNING LIFE,SO,S,2564,2,1
0294463,RDMAP LT NEW GEN,SO,S,2564,2,1
2403183,SOCIETY & CULTURE,SO,S,2564,2,1
2403185,JUV DEL,SO,S,2564,2,1
2601111,BUS ACCTG,SO,S,2564,2,1
2602121,INTRO BUSINESS,SO,S,2564,2,1
2603244,GEN PRIN INSURANCE,SO,S,2564,2,1
2605311,PRIN MKTG,SO,S,2564,2,6-8
2722221,TH CULT GLOB,SO,S,2564,2,1
2746292,EDU SUS DEV,SO,S,2564,2,5-6
2801321,NEWS INFO/SOC,SO,S,2564,2,1-2
2900151,FOUNDATION ECON,SO,S,2564,2,1
3401102,TAX LAW DLY LIFE,SO,S,2564,2,1-2
3404117,INTRO TO LAW,SO,S,2564,2,1-2
3404131,FREE ASM LAW,SO,S,2564,2,1
3494101,LAW HUM RES MGT,SO,S,2564,2,1
3800101,GENERAL PSYCHOLOGY,SO,S,2564,2,"2,3,7"
3800202,PSY LIFE WORK,SO,S,2564,2,2
3800250,HUMAN RELATIONS,SO,S,2564,2,1-3
3800351,PSY THINK CREAT,SO,S,2564,2,1
4000204,INTRO AGRO FOOD CH,SO,S,2564,2,1
5100101,POP/DEV,SO,S,2564,2,1-3
5698101,EMG TECH LLL,SC,I,2564,2,1
2147111,EXPL ROBOTICS ENG,SC,I,2564,2,1
2107220,ENV DAILY LIFE,SC,I,2564,2,1
0201287,MAP APPLN,SC,I,2564,2,2
2313213,DIGITAL PHOTO,SC,I,2564,2,51
2308354,STRATEGY OF LIFE,SC,I,2564,2,52
2314255,ELEMENT FOOD TECH,SC,I,2564,2,51
2308303,HISTORY OF SCI,SC,I,2564,2,51
2305151,ORGANIC GARDENING,SC,I,2564,2,51
2303165,MAN & ENVIRONMENT,SC,I,2564,2,51
2140145,HOME IMPROVEMENT,SC,I,2564,2,1
3900200,EX/SP HLTH,SC,I,2564,2,1
0201171,EFFECT CAREER MGT,SO,I,2564,2,1
2602241,INTRO IT/IS,SO,I,2564,2,"51,52"
2602171,BUS CPTS/ETHICS,SO,I,2564,2,"1,51,52"
4000208,INTRO AGR ECON,SO,I,2564,2,1
2800314,ART PUB SPKG,SO,I,2564,2,9
2800219,CROSS CULT COMM,SO,I,2564,2,1
2541160,CREAT URB LIVING,SO,I,2564,2,1-2
0201172,SELF/CAREER MGT,SO,I,2564,2,1
2800212,HUMAN COMM,SO,I,2564,2,1
2403185,JUV DEL,SO,I,2564,2,3
2403183,SOCIETY & CULTURE,SO,I,2564,2,1-2
3404117,INTRO TO LAW,SO,I,2564,2,1
3800202,PSY LIFE WORK,SO,I,2564,2,1-4
0201212,SP ETHICS,HU,I,2564,2,1
2541155,VIS CULT,HU,I,2564,2,1
2234482,INTRO ITAL CINEMA,HU,I,2564,2,1
2502291,DESIGN EVERYDAY,HU,I,2564,2,1
2541152,C/C PROB SOLV,HU,I,2564,2,1
2236103,RUS LANG CULT,HU,I,2564,2,1
2541154,COLOR AESTHETICS,HU,I,2564,2,1
2541156,ARCH ENV FILM,HU,I,2564,2,1
2542001,ART DSGN FLD,HU,I,2564,2,1
2541162,POSTMOD PHOTO,HU,I,2564,2,1
2541169,HIST ANIMATION,HU,I,2564,2,2
2542003,DSGN THNK INNV,HU,I,2564,2,1
2541176,JP DSGN CON,HU,I,2564,2,1
3503101,CL MUS SCRN,HU,I,2564,2,1
2236103,RUS LANG CULT,HU,I,2564,2,1
2296352,21C BUDDHISTS,HU,I,2564,2,1
3914101,REC QUAL LIFE DEV,IN,I,2564,2,1
0201251,P2 CONTROL,IN,I,2564,2,1
0201232,MULTI STUD RUR DEV,IN,I,2564,2,1
0201151,OUR ENVIRONMENT,IN,I,2564,2,1-2
0201107,LRN STUD ACT,IN,I,2564,2,1
5695102,PROF COMM SKL INNO,IN,I,2564,2,1
0201123,CULT TRAD TH LIFE,IN,I,2564,2,1
0201234,LOC GLOB ISS,IN,I,2564,2,1
0201127,QUAL WORK MGT,IN,I,2564,2,1
0201125,MGT DIFF CULT,IN,I,2564,2,1
0295106,WELL LIFE EXT,IN,I,2564,2,1
