courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
0201170,MILITARY SCIENCE,SO,S,2565,2,1
0294456,DESIGNING LIFE,SO,S,2565,2,1
0294460,INTR SUST DEV,SO,S,2565,2,1
0294461,STARTUP ENTREPRN,SO,S,2565,2,1
2403183,SOCIETY & CULTURE,SO,S,2565,2,1
2403185,JUV DEL,SO,S,2565,2,1
2601111,BUS ACCTG,SO,S,2565,2,1
2602121,INTRO BUSINESS,SO,S,2565,2,1
2603244,GEN PRIN INSURANCE,SO,S,2565,2,1-2
2605311,PRIN MKTG,SO,S,2565,2,6-10
2722221,TH CULT GLOB,SO,S,2565,2,1
2737201,MUSIC FOR ESTHE,SO,S,2565,2,"1-4,6"
2746292,EDU SUS DEV,SO,S,2565,2,5-6
2747406,LEAD ED PRO 21STCE,SO,S,2565,2,"1-2,4-5"
2800212,HUMAN COMM,SO,S,2565,2,1
2801321,NEWS INFO/SOC,SO,S,2565,2,1
2894100,FASN COMM,SO,S,2565,2,1
2900151,FOUNDATION ECON,SO,S,2565,2,1
3401102,TAX LAW DLY LIFE,SO,S,2565,2,1-2
3404117,INTRO TO LAW,SO,S,2565,2,3
3404122,LEGAL LOGICS,SO,S,2565,2,11
3404123,LEGAL HISTORY,SO,S,2565,2,11
3404129,LEGAL ETHICS,SO,S,2565,2,11
3404131,FREE ASM LAW,SO,S,2565,2,1
3404201,LAW ACCTG,SO,S,2565,2,11
3404405,LEGAL ETHICS,SO,S,2565,2,11
3494101,LAW HUM RES MGT,SO,S,2565,2,1
3800101,GENERAL PSYCHOLOGY,SO,S,2565,2,"2-3,7"
3800202,PSY LIFE WORK,SO,S,2565,2,1
3800250,HUMAN RELATIONS,SO,S,2565,2,1-3
4000204,INTRO AGRO FOOD CH,SO,S,2565,2,1
5100101,POP/DEV,SO,S,2565,2,1-3
0123101,PARAGRAP WRITING,HU,S,2565,2,2-26
0123104,UNIV THAI READING,HU,S,2565,2,1-5
0123105,THAI WRIT WORK,HU,S,2565,2,1
0123106,TH COM SKIL,HU,S,2565,2,1
0201211,MEDITAT LIFE DEV,HU,S,2565,2,1
0201212,SP ETHICS,HU,S,2565,2,1
0296110,HU ECO GLOBAL,HU,S,2565,2,1
0296112,LIFE SKILLS,HU,S,2565,2,1
2200330,TIPITAKA/LIFE,HU,S,2565,2,2
2206101,RES ACAD REP WRIT,HU,S,2565,2,1
2207103,PHILOS LOGIC,HU,S,2565,2,"2,4"
2207365,POLITICAL PHILOS,HU,S,2565,2,1
2210214,LIT/ENVIRON,HU,S,2565,2,2
2210217,CONTEM FICT,HU,S,2565,2,3
2210221,CRIME FICT/FILM,HU,S,2565,2,1
2210226,LIT MARGIN,HU,S,2565,2,3
2210227,NONHUM SCI FICT,HU,S,2565,2,2
2210239,LIT/DISABILITY,HU,S,2565,2,2
2210314,JUV LIT,HU,S,2565,2,1
2210316,LIT/SOC-POL CONS,HU,S,2565,2,2
2221316,IND MYTH TH CULT,HU,S,2565,2,1
2221390,IND CULT TH SOC,HU,S,2565,2,1
2221433,BUDDHIST TEACHING,HU,S,2565,2,1-2
